ID,Stream Reach or Site,Basin,Description,Designation
45,Pocotaligo River,Pee Dee,"Tributary to Black River, I-95","DOT, Flood Frequency/Forecasting, SW Assessments"
59,Pee Dee River,Pee Dee,"Mainstem, Tom Blue Landing",Flood Forecasting
60,Pee Dee River,Pee Dee,"Mainstem, US 15/401",Flood Forecasting
63,Crooked Creek,Pee Dee,Tributary to Pee Dee River,SW Assessments
65,Pee Dee River,Pee Dee,Mainstem,"Coastal Studies, SCDNR WMA"
66,Flat Creek,Pee Dee,Tributary to Lynches River,Ecological
72,Waccamaw River,Pee Dee,"Mainstem, upstream of Buck Creek",Water Quality
73,Simpson Creek,Pee Dee,Tributary to Waccamaw River,Water Quality
74,Crabtree Canal,Pee Dee,"Tributary to Waccamaw River, upstream of Oak St.",Water Quality
14,Ashepoo,Salkehatchie,Upper Mainstem,DNR Fisheries
15,Jackson Branch,Salkehatchie,Tributary to Salkehatchie,"SW Assessments, Flood Frequency, General lack of streamflow data in basin"
16,Little Salkehatchie River,Salkehatchie,Tributary to Salkehatchie,"DNR Fisheries, SW Assessments, Flood Frequency, General lack of streamflow data in basin"
17,Salkehatchie River,Salkehatchie,Upper Salkehatchie Mainstem,"DNR Fisheries, SW Assessments, Flood Frequency, General lack of streamflow data in basin"
26,Broad River/Port Royal Sound,Salkehatchie,Coastal,Coastal Studies
46,Ashepoo River,Salkehatchie,Coastal,Coastal Studies
18,Clouds Creek,Saluda,Tributary to Little Saluda River,"WU/Regulation, SW Assessments, DNR Fisheries"
19,Twelvemile Creek,Saluda,Tributary Saluda,"WU/Regulation, SW Assessments, Flood Frequency/Forecasting, Water Quality"
20,Reedy River,Saluda,Upper Reedy River,Flood Frequency/Forecasting
27,Saluda River,Saluda,Below North Saluda River Confluence,"WU/Regulation, SW Assessments"
28,Congaree River,Saluda,Above Wateree River Confluence,SW Assessments
47,Saluda River,Saluda,"Mainstem, I-26",Flood Forecasting
48,Coronaca Creek,Saluda,Tributary to Wilson Creek,Flood Forecasting
49,Little River,Saluda,Reach between City of Laurens and Newberry County Line,Flood Forecasting
50,Saluda River,Saluda,Mainstem,Flood Forecasting
69,Stoop Creek,Saluda,Tributary to Lower Saluda River,Water Quality
64,Oolenoy River,Saluda,Tributary to South Saluda River,SW Assessments
21,Ashley River,Santee,Mainstem,Coastal Studies
51,French Quarter Creek,Santee,Tributary to East Branch Cooper River,Flood Forecasting
52,North Santee River,Santee,Coastal,Coastal Studies
53,South Santee River,Santee,Coastal,Coastal Studies
70,East Branch Cooper River,Santee,Near confluence of Quinby and Huger Creeks,Coastal Studies
22,Chauga River,Savannah,Tributary to Lake Hartwell,"SW Assessments, DNR Fisheries"
23,Eastatoe Creek,Savannah,Headwater Tributary to Lake Keowee,"SW Assessments, DNR Fisheries, lack of gages in Blue Ridge"
29,Long Cane Creek,Savannah,Tributary to Little River,"SW Assessments, Flood Forecasting"
54,Cuffeytown Creek,Savannah,Tributary to Steven's Creek,Flood Forecasting
55,Hard Labor Creek,Savannah,Tributary to Steven's Creek,Flood Forecasting
56,Steven's Creek,Savannah,"Mainstem, Garrett Rd",Flood Forecasting
57,Steven's Creek,Savannah,"Mainstem, Woodlawn Rd",Flood Forecasting
71,Turkey Creek ,Savannah,Tributary to Steven's Creek,Ecological
,,,,
Designation Descriptions,,,,
Designation,Purpose,,,
Flood Frequency Site,Will be used to determine flood frequencies and magnitudes.,,,
Flood Forecasting Site,Will be used for forecasting flood events and are important for public safety.,,,
SW Assessment Site,"Will be used to improve UIFs (Unimpaired Flows) for model development as part of the State's Surface Water Assessment Project.  These UIFS are used to develop inflows to the surface water allocation models being developed by the SCDNR, SCDHEC, and a consultant (CDM Smith).",,,
POR Site,Period of Record (for reactivation sites only) - site has 20 or more years of historic data from which to compare new streamflow data.,,,
DNR Fisheries Site,"Will be used by SCDNR biologists for monitoring and  fisheries assessment, management and protection.",,,
Coastal Studies Site,Will help define location of the saltwater/freshwater interface and help determine rate of salt water intrusion.,,,
WU/Regulation Site,"Site is regulated or has impairment (downstream of a reservoir, noteable water use/withdrawals, ect.), and data will be used to assess water availability concerns.",,,
DOT Site,Will be at a bridge crossing and will address DOT infrastructure and transportation concerns.,,,
Water Quality,Will be used to monitor water quality,,,
Ecological,Will be used to monitor and study a stream of noted ecological value or concern,,,
"Other purposes include the general lack of data availability on a mainstem, a major tributary, or in a particular part of a basin.",,,,
"Though not listed explicitly, many of the proposed sites can also be used for low flow studies (7Q10 estimates, for example) or for drought monitoring.",,,,
